loss	cls_a	cls_b
0.0002189389	{'RBR'}	{'WP$'}
0.0003659388	{'JJR'}	{'WP$', 'RBR'}
0.0008193585	{'NNPS'}	{'SYM'}
0.0010847051	{'EX'}	{'PRP'}
0.0012253487	{'FW'}	{'NNP'}
0.0013436979	{'('}	{'.'}
0.0014086210	{'"'}	{'WP'}
0.0017445191	{'JJ'}	{'JJS'}
0.0023180377	{'WP$', 'RBR', 'JJR'}	{'RBS'}
0.0026830121	{'DT'}	{'PRP$'}
0.0032408943	{'"', 'WP'}	{'WRB'}
0.0040703093	{'NNPS', 'SYM'}	{'NNS'}
0.0064522540	{'VBD'}	{'VBN'}
0.0065769669	{','}	{':'}
0.0072805492	{'CD'}	{'JJ', 'JJS'}
0.0081993286	{'VBP'}	{'VBZ'}
0.0107639394	{'"', 'WRB', 'WP'}	{'VBG'}
0.0133769477	{'"', 'WRB', 'WP', 'VBG'}	{'WDT'}
0.0168859827	{'WP$', 'RBR', 'JJR', 'RBS'}	{'RB'}
0.0258612285	{'"', 'WRB', 'WDT', 'WP', 'VBG'}	{'VB'}
0.0294619817	{'MD'}	{'TO'}
0.0444304026	{'CC'}	{'IN'}
0.0627429627	{'TO', 'MD'}	{'VBZ', 'VBP'}
0.0774177738	{'FW', 'NNP'}	{'NN'}
0.0941446752	{'(', '.'}	{',', ':'}
0.1049143255	{'PRP$', 'DT'}	{'PRP', 'EX'}
0.1370107820	{'"', 'WRB', 'WDT', 'VB', 'WP', 'VBG'}	{'PRP$', 'DT', 'EX', 'PRP'}
0.1610286169	{'TO', 'MD', 'VBZ', 'VBP'}	{'VBN', 'VBD'}
0.2255893063	{'RBR', 'WP$', 'JJR', 'RB', 'RBS'}	{'NNPS', 'SYM', 'NNS'}
0.2859347033	{',', '(', '.', ':'}	{'VBP', 'TO', 'MD', 'VBZ', 'VBN', 'VBD'}
0.4616337115	{'CD', 'JJ', 'JJS'}	{'SYM', 'RBR', 'NNS', 'NNPS', 'WP$', 'JJR', 'RB', 'RBS'}
0.7845370440	{'"', 'EX', 'VB', 'WP', 'VBG', 'WRB', 'PRP', 'WDT', 'PRP$', 'DT'}	{'FW', 'NNP', 'NN'}
0.8020557396	{',', '.', 'VBP', '(', 'MD', 'VBZ', ':', 'VBD', 'TO', 'VBN'}	{'IN', 'CC'}
1.2777053199	{'"', 'FW', 'EX', 'VB', 'WP', 'VBG', 'NN', 'WRB', 'PRP', 'NNP', 'WDT', 'PRP$', 'DT'}	{'RBR', 'NNS', 'JJR', 'SYM', 'RB', 'JJS', 'RBS', 'CD', 'WP$', 'NNPS', 'JJ'}
3.3700848287	{'FW', 'RBR', 'NNS', 'JJR', 'RB', 'WP', 'NN', 'WRB', 'NNP', 'NNPS', 'WP$', 'PRP$', 'DT', '"', 'EX', 'SYM', 'RBS', 'WDT', 'VBG', 'JJS', 'CD', 'VB', 'JJ', 'PRP'}	{',', '.', 'VBP', '(', 'MD', 'VBZ', ':', 'VBD', 'IN', 'TO', 'VBN', 'CC'}
